id,type,gender,skin tone,count,accessories
134,Turtle,Male,Batman Giorgione,1,Pepe Shitflies
138,Turtle,Male,2021 Leonardo,6,Stringy Hair / Horned Rim Glasses / Hoodie / Cyron / Lunarc / Purple Hair
140,Turtle,Female,Batman Amoly,1,Hot Lipstick
144,Turtle,Male,Batman Donatello,4,Cigarette / Frumpy Hair / Luxurious Beard / Laser Device
147,Turtle,Male,Rise of the TMNT Raphael,4,Mohawk Thin / Regular Shades / Power Surge Fire / Open Mouth Full Teeth
151,Turtle,Male,2012 Michaelangelo,6,Stringy Hair / VR / Hoodie / Verda / Mummy / Beam
155,Turtle,Male,2021 Donatello,3,Clown Nose / Clown Hair Green / Police Cap
160,Turtle,Female,Rise of the TMNT Amoly,3,Pigtails / Purple Lipstick / Clown Eyes Blue
166,Turtle,Male,1987 Raphael,4,Shaved Head / Regular Shades / Golden / Battle God
167,Turtle,Female,2003 Lymera,2,Headband / Hot Lipstick
168,Turtle,Female,2003 Solina,4,Blue Eye Shadow / Silver Chain / Blonde Bob / Verda
172,Turtle,Female,Batman Amoly,3,Purple Lipstick / Blonde Bob / 3D Glasses
182,Turtle,Male,OG Promo Raphael,8,Peak Spike / Thanos / Power Surge Fire / Left Smile / Gold Chain / Mole / Spots / Earring
185,Turtle,Female,Rise Of The Tmnt Amoly,4,Wild White Hair / Hot Lipstick / Nouns / Crown
190,Turtle,Male,2021 Ethscript,2,Headband / TV
192,Turtle,Male,Og Promo Michaelangelo,1,Yu Gi Oh
200,Turtle,Female,Mirage Larota,2,Wild Hair / Sci Vr
203,Turtle,Male,Mirage Leonardo,5,Front Beard / Messy Hair / Regular Shades / Scorpion Knight / Twin Katana
208,Turtle,Male,1987 Donatello,4,Earring / Shaved Head / 3D Glasses / Battle God
209,Turtle,Female,Batman Talena,4,C3FF00 / Hot Lipstick / Stringy Hair / Los Pollos
212,Turtle,Female,2003 Talena,3,Crazy Hair / Hot Lipstick / Catwoman
214,Turtle,Male,Batman Giorgione,4,Front Beard Dark / Mohawk / Cyborg / Pizza
220,Turtle,Male,1987 Filippo,2,Big Shades / Headband
224,Alligator,Male,Leatherhead,2,Cowboy Hat Red / Leatherhead
225,Turtle,Female,IDW Amoly,6,Orange Side / Hot Lipstick / Earring / Eye Mask / Knitted Cap / Power Surge Rosequasar
226,Turtle,Female,Mirage Amoly,2,Hot Lipstick / Wonderturtle
231,Turtle,Female,2003 Amoly,3,Pipe / Stringy Hair / Earring
232,Turtle,Female,Rise of the TMNT Talena,2,Blue Eye Shadow / Wild Hair
234,Turtle,Male,1987 Leonardo,3,Nerd Glasses / Knitted Cap / Open Mouth Full Teeth
236,Turtle,Male,2003 Tiziano,1,Star Wars Mandalorian
237,Turtle,Male,2003 Leonardo,1,Star Wars Dart Maul
238,Turtle,Female,2012 Amoly,3,Clown Eyes Green / Straight Hair Dark / Knitted Cap
241,Turtle,Female,Og Promo Talena,4,Wild Blonde / Eye Mask / Rainbow Grills / Royal Crown
242,Turtle,Female,2021 Talena,4,Black Lipstick / Stringy Hair / Eye Mask / Snowoman
244,Turtle,Female,Mirage Venus,4,Regular Shades / Wild Hair / Purple Lipstick / Nebula
246,Turtle,Male,IDW Raphael,5,Bandana / Luxurious Beard / Earring / Eye Mask / Power Surge Fire
251,Turtle,Female,2021 Solina,3,Green Eye Shadow / Mohawk Dark / Eye Mask
252,Turtle,Male,Mirage Raphael,4,Cap Forward / Mole / Stringy Hair / Purple Hair
254,Turtle,Male,2003 Leonardo,4,Fedora / Thanos / Left Smile / Diving Mask
255,Turtle,Male,2012 Leonardo,5,Mustache / Shaved Head / Turtleman / Mummy / Power Surge Radiation
256,Rat,Male,Splinter,1,Splinter
260,Turtle,Male,2021 Donatello,4,Purple Hair / 3D Glasses / Viking / Left Smile
261,Turtle,Female,2012 Selene,2,Wild White Hair / Black Lipstick
262,Turtle,Female,Og Promo Azuria,2,Blonde Short / Regular Shades
263,Turtle,Male,Batman Raphael,5,Messy Hair / Muttonchops / Samurai / Power Surge Fire / Diamond Grills
264,Turtle,Female,Mirage Larota,3,Wild White Hair / Earring / Catwoman
266,Rhino,Male,Rocksteady,2,Rocksteady / Military Helmet
267,Turtle,Male,Mirage Leonardo,4,Clown Nose / Fedora / Open Mouth Two Teeth / Crazy Hair
268,Turtle,Female,Idw Azuria,2,Knitted Cap / Sci Vr
271,Turtle,Male,2021 Albrecht,3,C3FF00 / Stringy Hair / Bubblegum
276,Turtle,Female,Rise of the TMNT Venus,2,Crazy Hair / Catwoman
280,Turtle,Male,2003 Raphael,4,Earring / Eye Mask / Builder / Left Smile
281,Turtle,Male,Og Promo Leonardo,0,
282,Turtle,Female,2003 Larota,3,Classic Shades / Straight Hair Dark / Knitted Cap
285,Turtle,Female,2003 Venus,3,Dark Hair / Purple Lipstick / Diving Mask
292,Turtle,Female,2003 Lymera,5,Tassle Hat / Black Lipstick / Eye Mask / Bubblegum / Full Smile
293,Turtle,Male,2021 Giorgione,4,Handlebars / Mohawk Dark / Lava / Orc
294,Turtle,Male,Mirage Filippo,4,Hoodie / Big Shades / Earring / Blue Saber
295,Turtle,Male,Idw Giorgione,5,Frown / Shaved Head / Eye Mask / Mastermind / Full Frown
296,Turtle,Male,OG Promo Michaelangelo,3,Mohawk Thin / Thanos / Power Surge Solarwake
299,Turtle,Male,2003 Donatello,5,Muttonchops / Do-rag / Mummy / Pirate / Power Surge Radiation
303,Turtle,Female,2003 Lymera,3,Red Mohawk / Purple Lipstick / Ice Crown
304,Turtle,Male,2012 Donatello,3,Peak Spike / Shadow Beard / Eye Mask
307,Turtle,Male,Mirage Michaelangelo,3,Frumpy Hair / Chinstrap / Viking
308,Turtle,Male,2021 Donatello,1,Star Wars R2d2
310,Turtle,Male,Og Promo Donatello,7,Bandana / Vape / Classic Shades / Earring / Smile / Purple Hair / Gold Chain
311,Turtle,Male,2012 Hans,4,Front Beard / Frumpy Hair / Dagger / Miner
312,Turtle,Male,2021 Raphael,1,Star Wars C3po
313,Turtle,Female,Batman Selene,3,Purple Lipstick / Mohawk Dark / Bubble
314,Turtle,Male,OG Promo Raphael,5,Eye Mask / Police Cap / Mummy / Power Surge Radiation / Gold Grills
315,Turtle,Female,Rise Of The Tmnt Azuria,4,Wild White Hair / Black Lipstick / Cigarette / Laser
316,Turtle,Female,Og Promo Larota,1,Sandy Belle
318,Turtle,Female,Og Promo Jennika,4,Bandana / Hot Lipstick / Cigarette / Bubble
320,Turtle,Male,2021 Albrecht,2,Stringy Hair / Titain Goat
323,Turtle,Male,2021 Donatello,4,Mohawk Dark / Pizza / Mummy / Power Surge Radiation
325,Turtle,Male,OG Promo Donatello,4,Police Cap / Mustache / Small Shades / Bo Staff Gold
328,Turtle,Male,2021 Filippo,2,Bandana / Horned Rim Glasses
329,Turtle,Female,2003 Selene,2,Bandana / Eye Patch
330,Turtle,Male,Rise of the TMNT Michaelangelo,1,Niftyjutsu Gold Pepe
334,Turtle,Male,IDW Donatello,5,Wild Hair / Big Beard / Power Surge Dreamcoil / Moggles / Left Smile
335,Turtle,Male,2003 Raphael,2,Clown Hair Green / Sarpech
337,Turtle,Male,1987 Guido,2,Frumpy Hair / Blue Turtle Hoodie
338,Turtle,Male,2021 Guido,3,Messy Hair / Small Shades / Red Raging Sea Dragon
342,Turtle,Female,Batman Venus,6,Bandana / Regular Shades / Rose / Pirate / Mummy / Power Surge Radiation
344,Turtle,Male,Mirage Donatello,2,Beanie / Turtlepool
346,Turtle,Male,2003 Raphael,4,Purple Hair / Eye Mask / Phase / Eyes Forward
349,Turtle,Male,2021 Guido,4,Front Beard Dark / Earring / Mohawk Dark / Lava
350,Turtle,Female,Og Promo Venus,1,Simpson Lisa
353,Turtle,Female,2012 Venus,3,Bandana / Green Eye Shadow / Snowoman
355,Turtle,Female,Og Promo Amoly,5,Wild White Hair / Black Lipstick / Gold Chain / Green Eye Shadow / Full Smile
359,Turtle,Female,Og Promo Larota,3,Messy Hair / Hot Lipstick / Royal Crown
360,Turtle,Male,2021 Michaelangelo,7,Bandana / Normal Beard Black / Crazy Hair / Pit Vipers / Gold Chain / Gauntlet / Spots
362,Turtle,Male,Rise of the TMNT Michaelangelo,5,Eye Mask / Peak Spike / Shadow Beard / Gauntlet / Left Smile
364,Turtle,Male,1987 Guido,7,Normal Beard Black / Hoodie / Eye Mask / Purple Saber / Eyes Forward / Gold Chain / Spots
365,Turtle,Male,2003 Michaelangelo,4,Normal Beard / Do-rag / Spirit / Ice Master
366,Turtle,Male,2021 Michaelangelo,3,Eye Mask / Earring / Mohawk
371,Turtle,Female,2021 Amoly,1,Frumpy Hair
373,Turtle,Male,1987 Raphael,4,Earring / Headband / Gold Grills / Screen Test
375,Turtle,Female,Rise of the TMNT Venus,3,Green Eye Shadow / Wild Hair / Diamond Grills
380,Turtle,Female,2003 Lymera,6,Black Lipstick / Wild Hair / Earring / Eye Mask / Eyes Forward / Left Smile
381,Turtle,Female,2021 Jennika,3,Knitted Cap / Purple Lipstick / Bubble
383,Turtle,Female,Idw Solina,2,Green Eye Shadow / Straight Hair Blonde
386,Turtle,Male,2003 Tiziano,4,Earring / Do-rag / Battle God / Xenith
388,Turtle,Female,Mirage Azuria,5,C3FF00 / Straight Hair Blonde / Hot Lipstick / Clown Eyes Blue / Ice Crown
390,Turtle,Female,Idw Venus,2,Messy Hair / Eye Mask
391,Turtle,Female,Rise of the TMNT Talena,5,Eye Mask / Black Lipstick / Wild Blonde / Catwoman / Left Smile
395,Turtle,Male,Batman Raphael,8,Cap Forward / Earring / Normal Beard / Shades / Gauntlet / Gold Chain / Smile / Gold Chain
398,Turtle,Male,2012 Raphael,5,Super Turtle / Bandana / Smile / Full Smile / Sai
401,Turtle,Male,2021 Guido,4,Frumpy Hair / Earring / Big Beard / Pizza
402,Bull,Male,Groundchuck,5,Messy Hair Neon / Cyborg / Blue Nose Ring / Smile / Groundchuck
405,Turtle,Female,2021 Venus,3,Messy Hair / Eye Mask / Rosetrix
410,Turtle,Male,Og Promo Giorgione,3,Headband / Eye Patch / Green
412,Turtle,Male,Rise of the TMNT Raphael,5,Purple Hair / Classic Shades / Earring / Smile / Viking
413,Turtle,Female,2021 Larota,3,Straight Hair / Knitted Cap / Snowoman
414,Turtle,Male,1987 Michaelangelo,5,Shadow Beard / Earring / Top Hat / Diving Mask / Bubblegum
415,Turtle,Male,1987 Donatello,1,Pepe Sad Butterfly
416,Turtle,Male,Batman Tiziano,9,Cigarette / Hoodie / Smile / Blue Saber / Xenith / Dual Gold / Spots / Gold Chain / Earring
420,Turtle,Male,2021 Raphael,4,Earring / Crazy Hair / Eye Mask / Smile
424,Turtle,Male,OG Promo Raphael,4,Hoodie / Muttonchops / Regular Shades / Wizard
426,Turtle,Male,Batman Filippo,2,Peak Spike / Big Shades
428,Turtle,Female,Og Promo Zamira,2,Purple Eye Shadow / Ice Crown
429,Turtle,Male,2021 Giorgione,4,Super Turtle / Police Cap / Smile / Full Smile
431,Turtle,Female,Og Promo Solina,2,Horned Rim Glasses / Headband
437,Turtle,Male,2021 Giorgione,4,Front Beard Dark / Crazy Hair / Eye Patch / Fries in the Bag Hat Orange
438,Turtle,Female,Batman Selene,1,Mohawk Dark
439,Turtle,Male,2003 Filippo,4,Shadow Beard / Knitted Cap / Smile / Full Smile
441,Turtle,Male,1987 Michaelangelo,5,Stringy Hair / Shadow Beard / Ghost / TV / Bronze Armor
442,Turtle,Male,2012 Donatello,4,Front Beard / Bo Staff / Lava / Cowboy Hat
446,Turtle,Female,2003 Jennika,3,Straight Hair Blonde / Cigarette / Nerd Glasses
447,Turtle,Male,2021 Giorgione,3,Stringy Hair / Big Shades / Mythic Strike
452,Turtle,Male,IDW Raphael,3,Knitted Cap / Ironturtle / Power Surge Fire
466,Turtle,Female,2021 Zamira,1,Simpson Maggie
467,Turtle,Male,2021 Guido,4,Front Beard / Purple Hair / Classic Shades / Dagger
469,Turtle,Female,Batman Lymera,1,Frumpy Hair
475,Turtle,Female,IDW Larota,3,Crazy Hair / Catwoman / Power Surge Fire
478,Turtle,Male,2021 Michaelangelo,2,Cigarette / Peak Spike
479,Turtle,Female,Idw Venus,4,Regular Shades / Dark Hair / Solflare / Gold Grills
480,Turtle,Male,2003 Hans,3,Chinstrap / Earring / Top Hat
481,Turtle,Female,Idw Zamira,2,Wild Hair / Nerd Glasses
483,Turtle,Male,OG Promo Raphael,8,Stringy Hair / Mustache / Hoodie / Alienate / Gold Chain / Purple Hair / Eye Mask / Smile
484,Turtle,Male,Batman Donatello,4,Nerd Glasses / Knitted Cap / Mullet Blonde / Diamondx
485,Turtle,Male,OG Promo Michaelangelo,5,Earring / Headband / 3D Glasses / Big Beard / Astronaut
490,Turtle,Female,2003 Venus,2,Pigtails / Earring
493,Turtle,Female,Rise Of The Tmnt Selene,4,Wild Blonde / Purple Lipstick / Eye Mask / Eyes Forward
495,Turtle,Male,Rise of the TMNT Donatello,4,Crazy Hair / Smile / Thanos / Power Surge Dreamcoil
496,Turtle,Male,1987 Michaelangelo,5,Normal Beard Black / Cap / Earring / Small Shades / Mullet
501,Turtle,Female,Batman Amoly,3,Pilot Helmet / Earring / Nebula
502,Turtle,Male,Batman Leonardo,4,Earring / Normal Beard / Headband / Astronaut
505,Turtle,Male,IDW Michaelangelo,4,Normal Beard / Headband / Astronaut / Power Surge Solarwake
511,Turtle,Male,2012 Albrecht,3,Bandana / Mole / Warrior Beard
512,Turtle,Male,2012 Leonardo,3,Cigarette / Hoodie / Purple Saber
513,Turtle,Male,2012 Leonardo,2,Knitted Cap / Turtlepool
514,Turtle,Female,Mirage Larota,5,Straight Hair / Eye Patch / Hot Lipstick / Green / Knitted Cap
515,Turtle,Male,Mirage Raphael,5,Normal Beard / Mohawk Dark / Gauntlet / Left Smile / 24kgold
516,Turtle,Male,Rise of the TMNT Michaelangelo,7,C3FF00 / Normal Beard / 3D Glasses / Cowboy Hat / Pizza / Stringy Hair / Smile
517,Turtle,Male,2021 Michaelangelo,6,C3FF00 / Messy Hair / Goat / Pipe / Smile / Samurai
519,Turtle,Male,Rise of the TMNT Leonardo,3,Frumpy Hair / Viking / Diamond Grills
522,Turtle,Female,2021 Lymera,2,Blonde Bob / Nerd Glasses
525,Turtle,Female,2012 Amoly,6,Silver Chain / Hot Lipstick / Earring / Straight Hair Dark / Eye Mask / Knitted Cap
526,Turtle,Male,Batman Raphael,4,Cyborg / Vampire Hair / Mole / Eye Mask
527,Turtle,Female,Mirage Jennika,3,Straight Hair Blonde / Hot Lipstick / Regular Shades
530,Turtle,Female,2021 Amoly,2,Blonde Bob / Knitted Cap
531,Turtle,Male,1987 Donatello,3,Earring / Knitted Cap / Bane
536,Turtle,Male,Batman Leonardo,4,Hoodie / Horned Rim Glasses / Normal Beard / Green Saber
539,Turtle,Male,2003 Raphael,6,Mustache / VR / Mohawk Dark / Thanos / Beam / Gold Chain
540,Turtle,Male,Og Promo Raphael,1,Zelda
544,Turtle,Male,Idw Michaelangelo,3,Crazy Hair / Crazy Eyes / Warrior Beard
545,Turtle,Female,2012 Zamira,2,Messy Hair / VR
546,Turtle,Male,Batman Filippo,5,Frown / Headband / Small Shades / TV / Undead
549,Turtle,Male,2012 Raphael,4,3D Glasses / Pizza / Pharaoh / Power Surge Volt
553,Turtle,Female,Rise Of The Tmnt Azuria,2,Wild Hair / 3D Glasses
555,Turtle,Male,2003 Leonardo,1,Aladin Genie
558,Turtle,Male,Rise of the TMNT Raphael,3,Earring / Mohawk Dark / Thanos
559,Turtle,Female,2021 Jennika,2,Mohawk Thin / Rainbow Grills
561,Turtle,Male,2012 Ethscript,2,Top Hat / 3D Glasses
562,Turtle,Male,IDW Michaelangelo,5,Eye Mask / Cap / Rosy Cheeks / Vision / Power Surge Solarwake
564,Turtle,Male,2003 Michaelangelo,5,Mohawk / Big Beard / Smile / Full Smile / Nunchaku
566,Turtle,Female,Rise Of The Tmnt Selene,2,Wild Hair / Diving Mask
567,Turtle,Male,1987 Michaelangelo,2,Bandana / VR
571,Turtle,Female,2003 Talena,3,Pigtails / Purple Lipstick / Eye Mask
572,Turtle,Male,2021 Donatello,3,Clown Eyes Blue / Do-rag / Dual Purple
578,Turtle,Male,2012 Albrecht,3,Front Beard Dark / Fedora / Robin
580,Turtle,Female,2012 Solina,3,Tassle Hat / Clown Eyes Green / Bubblegum
587,Turtle,Male,Idw Donatello,3,Earring / Do-rag / Eye Mask
588,Turtle,Female,2012 Talena,7,Tassle Hat / Big Shades / Black Lipstick / Earring / Cigarette / Goblin / Full Smile
589,Turtle,Female,2012 Selene,4,Mohawk / Hot Lipstick / Regular Shades / Earring
595,Turtle,Male,IDW Donatello,5,Headband / Eye Patch / Blue / Astronaut / Power Surge Dreamcoil
597,Turtle,Female,IDW Talena,4,Messy Hair / Rosy Cheeks / Power Surge Dreamcoil / 24kgold
601,Turtle,Female,2021 Selene,3,Black Lipstick / Mohawk Dark / Clown Eyes Blue
602,Turtle,Female,Mirage Venus,3,Crazy Hair / Hot Lipstick / Catwoman
605,Turtle,Male,1987 Albrecht,5,Cigarette / Earring / Clown Hair Green / Small Shades / Mole
607,Turtle,Male,2003 Hans,5,Stringy Hair / Earring / Clown Eyes Green / Clown Face Red / Blue Turtle Hoodie
608,Turtle,Male,1987 Guido,3,Stringy Hair / 3D Glasses / Mythic Smith
609,Turtle,Male,2021 Leonardo,4,Luxurious Beard / Do-rag / Battle God / Dual Beam
611,Turtle,Female,Rise of the TMNT Amoly,1,Birdie
612,Turtle,Male,2012 Hans,4,Shadow Beard / VR / Mohawk Dark / Beam
613,Turtle,Male,2021 Raphael,4,Frumpy Hair / Chinstrap / Eye Mask / Ushanka
614,Turtle,Female,2003 Solina,2,Headband / Screen Test
615,Turtle,Male,1987 Michaelangelo,2,Wild Hair / Small Shades
617,Turtle,Male,Mirage Donatello,4,Hoodie / Normal Beard / Small Shades / Wizard
619,Turtle,Male,2012 Albrecht,4,Front Beard / Frumpy Hair / Earring / Eye Patch
621,Turtle,Male,Mirage Michaelangelo,6,Peak Spike / Earring / Smile / Normal Beard / Eye Patch / Black
623,Turtle,Male,Batman Michaelangelo,5,Fedora / Horned Rim Glasses / Smile / Normal Beard / Lunarc
625,Turtle,Male,1987 Filippo,4,Stringy Hair / Cigarette / Normal Beard Black / Eye Patch
626,Turtle,Male,2012 Michaelangelo,5,Earring / Cowboy Hat / Eye Mask / Pizza / Stringy Hair
627,Turtle,Male,IDW Raphael,3,Hoodie / Wizard / Power Surge Fire
632,Turtle,Male,2021 Guido,1,Chilli
636,Turtle,Male,2012 Donatello,1,Lego Laugh
637,Turtle,Female,Batman Azuria,5,Black Lipstick / Straight Hair Dark / Spirit / Petalburn / Left Smile
639,Turtle,Male,2012 Donatello,4,Peak Spike / Shadow Beard / Mole / Smile
640,Turtle,Male,1987 Michaelangelo,3,Knitted Cap / Pipe / Shemagh
641,Turtle,Female,2012 Venus,1,Cleopatra
642,Turtle,Female,Batman Amoly,3,Pink With Hat / Purple Lipstick / Eye Mask
644,Turtle,Male,Mirage Raphael,3,Mohawk Thin / Earring / Diving Mask
646,Turtle,Female,Idw Amoly,5,Green Eye Shadow / Hot Lipstick / Earring / Mohawk Dark / C3FF00
647,Turtle,Female,Mirage Larota,2,Bandana / Snowoman
648,Turtle,Male,1987 Guido,3,Peak Spike / Eye Patch / Big Beard
651,Turtle,Male,2012 Donatello,4,Do-rag / Smile / Diving Helmet / Full Smile
656,Turtle,Male,2021 Raphael,1,Star Wars Storm Troppers
657,Turtle,Male,2012 Donatello,1,Lego Smile
659,Turtle,Female,2021 Lymera,4,Mole / Tassle Hat / Gold Chain / Cyborg
660,Turtle,Female,Og Promo Lymera,4,Purple Eye Shadow / Wild Hair / Purple Lipstick / Earring
661,Turtle,Male,OG Promo Donatello,4,Goat / Knitted Cap / Eye Mask / Mullet Blonde
664,Turtle,Female,Og Promo Jennika,1,Simpson Marge
666,Turtle,Female,Idw Lymera,3,Messy Hair / Purple Lipstick / Tear Waterfall
667,Turtle,Female,2012 Amoly,3,Hot Lipstick / Mohawk Dark / Eye Mask
668,Turtle,Female,Mirage Solina,1,Simpson Mel
669,Turtle,Female,2021 Amoly,3,Black Lipstick / Mohawk Thin / 24kgold
670,Turtle,Female,Rise of the TMNT Talena,2,Mohawk Thin / Diving Mask
671,Turtle,Female,2021 Talena,4,Classic Shades / Half Shaved / Earring / Verda
672,Turtle,Female,Mirage Venus,3,Wild Blonde / Purple Lipstick / Catwoman
674,Turtle,Male,Og Promo Leonardo,2,Messy Hair / Nerd Glasses
676,Turtle,Male,Batman Tiziano,5,Stringy Hair / Smile / Regular Shades / Fries in the Bag Hat Orange / Smile Tounge Out
678,Turtle,Male,Mirage Donatello,3,Earring / Do-rag / Diving Mask
679,Turtle,Male,2003 Guido,6,Muttonchops / Silver Chain / Crazy Hair / C3FF00 / Eye Mask / Fries in the Bag Hat Red
683,Turtle,Female,2012 Larota,5,Knitted Cap / VR / Earring / Beam / Nebula
684,Turtle,Female,Batman Jennika,6,Pink With Hat / Purple Lipstick / Earring / Clown Eyes Blue / Bubblegum / Silver Crown
686,Turtle,Male,2003 Michaelangelo,6,Chinstrap / Earring / Pipe / Smile / Shaved Head / Elf Hat
687,Turtle,Male,2021 Guido,4,Peak Spike / Muttonchops / Blood Elf / Left Smile
688,Turtle,Female,Mirage Talena,4,Clown Hair Green / Alienate / Mummy / Power Surge Radiation
689,Turtle,Female,Batman Talena,4,Mole / Black Lipstick / Mohawk Thin / 3D Glasses
692,Turtle,Male,Batman Michaelangelo,3,Frumpy Hair / Eye Mask / Viking
694,Turtle,Male,IDW Leonardo,5,Messy Hair / Earring / Samurai / Power Surge Telekinetic / Diving Mask
696,Turtle,Female,2003 Selene,3,Purple Eye Shadow / Mohawk Thin / Purple Lipstick
697,Turtle,Female,2003 Talena,3,Messy Hair / Hot Lipstick / 24kgold
698,Turtle,Male,Mirage Leonardo,4,Hoodie / Regular Shades / Smile / Wizard
699,Turtle,Male,2021 Michaelangelo,1,Wild Hair
700,Turtle,Male,Rise of the TMNT Donatello,2,Earring / Mohawk Dark
704,Turtle,Male,1987 Ethscript,5,Cap Forward / Mustache / Smile / Full Smile / Pit Vipers
706,Turtle,Female,2012 Zamira,1,Tiara
708,Turtle,Female,2012 Talena,4,Straight Hair / Purple Lipstick / Knitted Cap / 24kgold
709,Turtle,Male,1987 Tiziano,5,Shadow Beard / Earring / Shaved Head / Flash / Lunarc
710,Turtle,Male,Rise Of The Tmnt Giorgione,4,Mustache / Earring / Headband / Regular Shades
712,Turtle,Female,2012 Venus,4,Straight Hair / Purple Lipstick / Knitted Cap / 24kgold
714,Turtle,Female,Rise Of The Tmnt Selene,5,Green Eye Shadow / Half Shaved / Earring / Cigarette / Christmas Stocking
715,Turtle,Male,Rise of the TMNT Leonardo,3,Mohawk Thin / Earring / Normal Beard
718,Turtle,Male,OG Promo Michaelangelo,3,Spots / Do-rag / Sailor Hat
720,Turtle,Male,Rise of the TMNT Raphael,5,Cap Forward / Earring / Pizza / Stringy Hair / Purple Hair
723,Turtle,Male,1987 Michaelangelo,2,Wild Hair / Nerd Glasses
727,Turtle,Female,Og Promo Solina,3,Black Lipstick / Dark Hair / Snowoman
728,Turtle,Female,2021 Larota,4,Cap / Purple Lipstick / Earring / Pit Vipers
730,Turtle,Male,Idw Albrecht,4,Bandana / Shadow Beard / Earring / Oblitek
733,Turtle,Female,Rise Of The Tmnt Venus,4,Stringy Hair / Yellow Duck / Classic Shades / Purple Lipstick
